Time t / s,Voltage U_B1 / V,Temperature &J_A11 / °C,Temperature &J_A12 / °C
12.3,4.98,20.1702782375632,22.7406799719944
12.401,4.975,20.2713802494933,22.6395779600643
12.5,4.975,20.1702782375632,22.7406799719944
12.601,4.98,20.2713802494933,22.7406799719944
12.7,4.98,20.2713802494933,22.7406799719944
12.799,4.98,20.1702782375632,22.7406799719944
12.9,4.98,20.1702782375632,22.7406799719944
13,4.98,20.2713802494933,22.7406799719944
13.101,4.98,20.1702782375632,22.7406799719944
13.2,4.975,20.2713802494933,22.6395779600643
13.3,4.98,20.1702782375632,22.7406799719944
13.4,4.98,20.1702782375632,22.8417819839244
13.5,4.975,20.2713802494933,22.7406799719944
13.6,4.98,20.1702782375632,22.7406799719944
13.701,4.98,20.2713802494933,22.7406799719944
13.8,4.98,20.1702782375632,22.7406799719944
13.9,4.975,20.1702782375632,22.8417819839244
14,4.98,20.1702782375632,22.8417819839244
14.1,4.985,20.2713802494933,22.8417819839244
14.2,4.975,20.1702782375632,22.8417819839244
14.3,4.975,20.2713802494933,22.7406799719944
14.4,4.98,20.2713802494933,22.8417819839244
14.5,4.98,20.1702782375632,22.8417819839244
14.6,4.975,20.2713802494933,22.8417819839244
14.701,4.98,20.1702782375632,22.8417819839244
14.801,4.98,20.1702782375632,22.8417819839244
14.9,4.98,20.2713802494933,22.8417819839244
15,4.98,20.1702782375632,22.8417819839244
15.1,4.985,20.1702782375632,22.8417819839244
15.2,4.975,20.1702782375632,22.8417819839244
15.299,4.975,20.1702782375632,22.8417819839244
15.4,4.98,20.1702782375632,22.8417819839244
15.5,4.975,20.1702782375632,22.8417819839244
15.6,4.985,20.1702782375632,22.8417819839244
15.7,4.975,20.2713802494933,22.9428839958545
15.801,4.975,20.2713802494933,22.9428839958545
15.901,4.98,20.1702782375632,22.9428839958545
15.999,4.98,20.1702782375632,22.9428839958545
16.1,4.98,20.2713802494933,22.8417819839244
16.2,4.975,20.2713802494933,22.8417819839244
16.3,4.98,20.1702782375632,22.8417819839244
16.4,4.975,20.1702782375632,22.8417819839244
16.501,4.975,20.2713802494933,22.7834807655478
16.601,4.98,20.1702782375632,22.8845827774779
16.7,4.975,20.1702782375632,22.7834807655478
16.8,4.975,20.2713802494933,22.7834807655478
16.9,4.98,20.2713802494933,22.7834807655478
17,4.98,20.1702782375632,22.7834807655478
17.1,4.975,20.2713802494933,22.7834807655478
17.2,4.975,20.1702782375632,22.8845827774779
17.3,4.975,20.1702782375632,22.7834807655478
17.4,4.98,20.2713802494933,22.8845827774779
17.5,4.975,20.1702782375632,22.7834807655478
17.601,4.975,20.2713802494933,22.8417819839244
17.7,4.98,20.2713802494933,22.8417819839244
17.799,4.98,20.1702782375632,22.8417819839244
