Time t / s,Voltage U_B1 / V,Temperature &J_A11 / °C,Temperature &J_A12 / °C
42.8,4.98,21.3515632334083,24.6916111504673
42.9,4.98,21.3515632334083,24.5905091385372
43.001,4.975,21.3515632334083,24.7927131623973
43.1,4.98,21.3515632334083,24.8938151743274
43.202,4.975,21.3515632334083,24.8938151743274
43.3,4.98,21.3515632334083,24.8938151743274
43.4,4.98,21.3515632334083,24.9949171862574
43.5,4.975,21.3515632334083,25.0960191981874
43.6,4.98,21.3515632334083,25.0960191981874
43.7,4.98,21.3515632334083,25.0960191981874
43.8,4.98,21.3515632334083,25.0960191981874
43.9,4.98,21.3515632334083,25.1971212101175
44,4.98,21.4526652453384,25.1971212101175
44.1,4.985,21.3515632334083,25.1971212101175
44.2,4.98,21.3515632334083,25.2982232220475
44.301,4.98,21.4526652453384,25.3993252339775
44.4,4.975,21.3515632334083,25.5004272459076
44.5,4.98,21.3515632334083,25.8037332816977
44.6,4.98,21.3515632334083,25.9048352936277
44.699,4.98,21.3515632334083,26.0059373055578
44.8,4.98,21.3515632334083,26.3092433413479
44.9,4.98,21.3515632334083,26.2081413294179
45,4.975,21.3515632334083,26.3092433413479
45.1,4.975,21.4526652453384,26.3092433413479
45.2,4.98,21.3515632334083,26.2081413294179
45.3,4.98,21.3515632334083,26.3092433413479
45.399,4.975,21.3515632334083,26.3092433413479
45.5,4.985,21.4526652453384,26.4103453532779
45.6,4.975,21.3515632334083,26.4103453532779
45.701,4.98,21.3515632334083,26.5114473652079
45.805,4.98,21.4526652453384,26.713651389068
45.9,4.98,21.3515632334083,26.713651389068
46,4.98,21.3515632334083,26.612549377138
46.1,4.98,21.3515632334083,26.612549377138
46.2,4.98,21.4526652453384,26.5114473652079
46.301,4.975,21.3515632334083,26.5114473652079
46.4,4.98,21.2504612214783,26.3092433413479
46.5,4.975,21.3515632334083,26.3092433413479
46.6,4.975,21.3515632334083,26.2081413294179
46.7,4.98,21.3515632334083,26.1070393174878
46.8,4.98,21.3515632334083,26.1070393174878
46.901,4.98,21.2504612214783,26.1070393174878
